candidate,dataset,family,route,primary,questions,ndcg_at_10,recall_at_10,mrr_at_10,full_qrel_coverage_at_10,p95_ms,double_build_seconds,knowledge_bytes,agent_execution_seconds,native_trial_seconds
baseline,astro,graphify,search,True,40,0.5779156769160976,0.7729166666666667,0.5792261904761904,0.6,140.27097300095193,36.343885115000376,17785739,41.768853,85.929602
baseline,enterprise,legacy,lexical,True,40,0.5749695375722894,0.6192460317460318,0.5986111111111111,0.525,3.259761000663275,36.05138301700026,4933955,36.995726,78.928933
baseline,architecture,graphify,search,True,40,0.5775650846510725,0.5958333333333333,0.6875,0.425,93.54306099885434,15.75284589200055,32608496,20.540429,66.730546
baseline,data-science,turso,lexical-sql,True,40,0.4016212910774567,0.74375,0.3178769841269841,0.65,483.03489300087676,28.934300228998836,158821350,48.701972,89.045953
baseline,enterprise,turso,lexical-sql,True,40,0.40319114502840775,0.49871031746031746,0.40854166666666664,0.4,37.863949000893626,40.28501091599901,23927107,42.13017,83.359801
baseline,architecture,classical,fusion,True,40,0.9257807641624444,0.9729166666666667,0.975,0.925,729.6153540009982,144.90725749800004,172206005,272.689956,314.656752
baseline,enterprise,entity-graph,fusion,True,40,0.4673466879301481,0.5803571428571429,0.47333333333333333,0.5,49.85434799891664,62.77746699999989,13856388,70.419209,112.982714
baseline,architecture,ensemble,quality,True,40,0.8500964545549008,0.9520833333333334,0.8800000000000001,0.875,5328.750333999778,608.4979680489996,458363799,1036.264552,1081.523003
baseline,data-science,embeddings,hybrid,True,40,0.60043749109768,0.8895833333333334,0.5200297619047619,0.8,803.6571029988409,21.23119020000013,79076656,83.567126,126.873539
baseline,data-science,classical,fusion,True,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,1023.2467570003791,260.31855899199945,266251750,431.243086,474.438188
baseline,enterprise,embeddings,hybrid,True,40,0.516406878690786,0.5991071428571428,0.541875,0.5,46.068772999205976,64.3976000319999,7169691,68.794138,112.220956
baseline,architecture,legacy,lexical,True,40,0.8154736310803241,0.95,0.80625,0.9,0.2189050010201754,5.15274840299935,25449713,6.749893,50.873208
baseline,architecture,entity-graph,fusion,True,40,0.8350413379424438,0.975,0.8133333333333332,0.925,2931.7402209999273,206.1797433289994,318372177,651.476848,695.58531
baseline,astro,ensemble,quality,True,40,0.8262231573917006,0.8875,0.90625,0.725,3737.9984039998817,249.32294087800074,145084331,527.782692,572.047509
baseline,architecture,embeddings,hybrid,True,40,0.7237714735653961,0.9208333333333334,0.7154464285714286,0.8,409.0435539983446,11.844694049999816,38303852,43.392106,88.299637
baseline,architecture,turso,lexical-sql,True,40,0.5840043018567261,0.8625,0.5272023809523809,0.725,352.11002500000177,14.583366911998382,76846321,27.02751,69.461191
baseline,enterprise,classical,fusion,True,40,0.43423767296046306,0.4246031746031746,0.5625,0.325,41.376982000656426,60.23820514500039,8014930,65.967402,109.952719
baseline,data-science,adaptive,adaptive,True,40,0.9178174181007902,0.9916666666666666,0.9322916666666666,0.975,2684.975967000355,245.82699758200033,266252926,350.826288,393.624551
baseline,astro,legacy,lexical,True,40,0.6051893734409577,0.7541666666666667,0.6446527777777777,0.575,2.5478730003669625,16.96900958600054,8773595,18.032461,62.781587
baseline,data-science,entity-graph,fusion,True,40,0.8579062471314278,0.975,0.86875,0.925,6874.664762000975,455.1440466610002,676957164,1554.85572,1597.468865
baseline,astro,embeddings,hybrid,True,40,0.7851983317054789,0.8583333333333334,0.8554166666666667,0.7,94.11931400063622,26.12931463899986,13011524,34.389816,76.580519
baseline,data-science,legacy,lexical,True,40,0.8321588233274824,0.95,0.8175000000000001,0.9,0.5389789985201787,8.500845238000693,52554726,10.821463,52.662289
baseline,astro,adaptive,adaptive,True,40,0.8333545047679802,0.8875,0.9145833333333334,0.725,2591.3795460000983,47.196047555000405,34362290,108.421134,149.03314
baseline,enterprise,graphify,search,True,40,0.13626228624863054,0.17371031746031745,0.20423611111111112,0.1,130.6742970009509,132.33906279300027,14940327,136.260759,176.006037
baseline,astro,entity-graph,fusion,True,40,0.6947023065501792,0.8229166666666666,0.7670833333333333,0.65,1035.2330330006225,87.08825374200023,114816438,243.467984,284.004204
baseline,enterprise,adaptive,adaptive,True,40,0.5033603261131847,0.5899801587301587,0.5747222222222221,0.475,1344.751589000225,60.59632648000115,8016106,94.27372,135.21186
baseline,data-science,graphify,search,True,40,0.5440998456059355,0.5395833333333333,0.625,0.475,344.84337200046866,37.101851080000415,74673183,52.609237,94.776059
baseline,astro,turso,lexical-sql,True,40,0.47813551023378115,0.6666666666666667,0.4916964285714286,0.475,138.51196699943102,19.40682470200045,32612315,23.544399,64.435843
baseline,enterprise,ensemble,quality,True,40,0.5534950398893288,0.5899801587301587,0.6035714285714285,0.475,1508.2844890002889,236.85363176200008,19997413,342.176187,382.485373
baseline,data-science,ensemble,quality,True,40,0.9278098590730673,0.9916666666666666,0.9410714285714287,0.975,9928.14080899916,1202.0221507709994,917220099,2010.132716,2051.937571
baseline,astro,classical,fusion,True,40,0.8333545047679802,0.8875,0.9145833333333334,0.725,73.61412799946265,46.64184954600023,34361114,60.343185,100.647557
baseline,architecture,adaptive,adaptive,True,40,0.8560699230171966,0.9520833333333334,0.905,0.875,1745.9525129997928,131.32113640700118,152558593,196.4731,237.679748
